1425227031	929	3014
1425227265	559	6221
1425227480	659	3024
1425227822	2718	6694
1425228049	1603	4188
1425228589	1358	1358
1425228709	585	585
1425229108	1214	31327
1425230115	513	4480
1425230249	806	7497
1425230393	28779	16019
1425231257	2077	2077
1425231676	748	9446
1425231923	1135	14722
1425232058	845	845
1425232536	1817	16594
1425232799	1951	1951
1425232951	2535	27026
1425233227	827	827
1425233313	973	11217
1425233568	1481	3141
1425233943	2568	3661
1425234473	1007	9749
1425235001	750	750
1425235119	1856	16953
1425235258	1081	3316
1425235353	1854	4616
1425235517	9218	1844
1425235633	656	656
1425235998	912	912
1425236114	1398	1398
1425236428	678	678
1425236498	1647	6798
1425236885	1803	1803
1425237158	2600	12010
1425237515	1374	1374
1425237657	1001	5335
1425237787	1939	1939
1425238033	1837	11913
1425238431	1152	1787
1425239497	1373	8874
1425239616	1430	6981
1425239719	1491	1491
1425240521	730	14715
1425240596	1251	9571
1425241605	906	906
1425241975	1850	1850
1425242111	2349	4029
1425242410	837	9796
1425242503	884	2136
1425242869	825	2278
1425242995	1815	1815
1425243152	938	7845
1425243407	2994	12687
1425243691	838	3685
1425243930	1813	1813
1425244058	1051	4828
1425244192	870	28097
1425244333	677	14406
1425244478	2936	12357
1425244993	2112	2294
1425245133	1021	1021
1425245389	1820	17747
1425245528	1366	9001
1425245648	2908	31724
1425245910	1685	1685
1425246461	816	16727
1425246598	683	683
1425246705	1586	3404
1425246837	3249	5700
1425247378	2173	2173
1425247925	787	7875
1425248345	1865	1865
1425248416	1969	12111
1425248563	816	7232
