1425227861	623	623
1425227957	653	653
1425231075	823	2942
1425234570	586	6746
1425237391	1527	3183
1425238734	810	15130
1425238811	1086	14077
1425241571	631	8653
1425241610	1276	4072
1425242434	860	2114
1425242461	1142	1142
1425242510	1282	3395
1425242655	1248	9369
1425242686	627	1096
1425242715	922	2249
1425244624	594	594
1425244905	1605	12252
1425244941	876	876
1425244989	1532	3135
1425245018	656	2175
1425245038	674	674
1425247177	1023	34173
1425247368	1360	41583
1425247387	1368	6916
1425247495	1378	3683
