1425226054	1450	1450
1425226078	435	435
1425227344	1690	59099
1425227795	1744	24464
1425228147	1817	2662
1425229055	2063	2063
1425229185	1916	13211
1425229698	1857	16330
1425229823	1978	13337
1425229951	1954	30096
1425230078	2101	5051
1425231228	2046	31612
1425231358	1999	8133
1425231739	1704	48238
1425231865	1998	14212
1425232121	1916	9599
1425232249	2088	35139
1425232380	2142	15560
1425232507	1839	36271
1425232635	2226	14019
1425232761	2031	2031
1425233018	1713	4261
1425233146	2171	2171
1425233530	2512	2512
1425233915	1947	52348
1425234428	2234	2957
1425234554	2002	28235
1425235193	1960	1960
1425235321	2484	23197
1425236083	2625	2625
1425236212	2157	42715
1425236848	2121	36523
1425236974	1941	1941
1425237872	2080	28181
1425238640	2135	22080
1425238897	2487	21167
1425239165	2237	3083
1425239417	1911	35678
1425240073	1890	13013
1425240210	2071	23683
1425240466	2309	17874
1425240600	1841	1841
1425240729	2256	34526
1425240993	2099	31639
1425241121	2277	21736
1425241261	3612	11134
1425241395	1858	16883
1425241655	2140	6007
1425242073	3031	3031
1425242463	1749	1749
1425242590	1989	14280
1425243224	1930	4608
1425243637	2071	42506
1425244024	2142	17467
1425244679	2380	4794
1425245086	1688	3932
1425245878	1920	1920
1425246546	2326	2326
1425246675	2058	42057
1425247999	1929	1929
1425248256	2439	2439
