1425250357	10883052	84780000
1425250362	10883052	178740000
1425250488	10883052	195120000
1425250523	10883054	204960000
1425250679	10883057	213060000
1425250679	10883057	221400000
1425250679	10883057	226740000
1425250679	10883057	226920000
1425250788	10883059	206880000
1425250788	10883059	193800000
1425250788	10883059	196740000
1425250897	10920001	130800000
1425250897	10920001	163320000
1425250897	10920001	169860000
1425250897	10920001	174120000
1425251007	10920003	97500000
1425251007	10920003	115440000
1425251007	10920003	119340000
1425251107	10920005	25920000
1425251108	10920005	27900000
1425251109	10920005	91260000
1425251110	10920005	91620000
1425251110	10920005	90660000
1425251111	10920005	91500000
1425251113	10920005	59820000
1425251113	10920005	75300000
1425251115	10920005	79440000
1425251115	10920005	106260000
1425251115	10920005	109200000
1425251116	10920005	110040000
1425251116	10920005	80760000
1425251117	10920005	81840000
1425251120	10920005	116400000
1425251120	10920005	81300000
1425251120	10920005	81780000
1425251122	10920005	88500000
1425251124	10920005	138120000
1425251128	10920005	157680000
1425251137	10920005	158520000
1425251139	10920005	157440000
1425251225	10920007	11160000
1425251225	10920007	63420000
1425251225	10920007	67320000
1425251326	10920008	187020000
1425251327	10920008	187680000
1425251329	10920008	198780000
1425251330	10920008	199140000
1425251330	10920008	204780000
1425251330	10920008	205200000
1425251332	10920008	214620000
1425251332	10920008	213540000
1425251335	10920008	240000000
1425251335	10920008	227940000
1425251335	10920008	231900000
1425251336	10920008	232500000
1425251336	10920008	207600000
1425251336	10920008	212340000
1425251339	10920008	212460000
1425251339	10920008	252960000
1425251339	10920008	253800000
1425251342	10920009	52200000
1425251344	10920009	23580000
1425251347	10920009	18600000
1425251359	10920009	80160000
1425251449	10920010	181860000
1425251450	10920010	235500000
1425251450	10920010	183360000
1425251550	10920012	143040000
1425251552	10920012	145140000
1425251553	10920012	130980000
1425251553	10920012	163200000
1425251560	10920012	170700000
1425251560	10920012	164160000
1425251560	10920012	167220000
1425251560	10920012	167700000
1425251560	10920012	197940000
1425251561	10920012	198540000
1425251561	10920012	173760000
1425251561	10920012	173940000
1425251566	10920012	174060000
1425251568	10920012	194100000
1425251572	10920012	195960000
1425251573	10920012	244560000
1425251575	10920012	226860000
1425251581	10920012	242460000
